19,2009,31218,13196,28381,24383,31626,12875,9180.9,12176,22434,36888,36366,46315
19,2010,36314,38654,30213,14554,20697,12229,8001.3,11267,8780.7,8819.3,12531,21891
19,2011,8283.5,6656.8,16437,14930,5304.1,3963.1,4295.6,4116,5597.6,4207,7141.7,13553
19,2012,25027,16991,18871,3844.6,3404.9,4733,5635.3,7995.6,7960.6,9199.8,9042.1,13795
19,2013,31405,31707,26495,23066,30108,19288,26483,17522,13195,13109,13498,31926
20,2008,11290,14574,17171,10068,8083.3,5607.8,5371.3,9271.6,5101.1,5022.6,4649,22609
20,2009,29675,12544,26978,23178,30063,12239,8727.1,11574,21325,35064,34568,44026
20,2010,31409,33433,26132,12588,17901,10577,6920.6,9745.2,7594.7,7628.1,10839,18934
20,2011,13973,11229,27726,25185,8947.2,6685.1,7246,6943,9442.4,7096.5,12047,22861
20,2012,26658,18099,20100,4095.2,3626.8,5041.4,6002.5,8516.7,8479.4,9799.4,9631.4,14694
20,2013,35906,36250,30292,26371,34422,22052,30277,20033,15086,14987,15432,36501
21,2008,6359.5,8209.7,9672.5,5671.5,4553.4,3158.9,3025.7,5222.8,2873.5,2829.3,2618.8,12736
21,2009,18725,7915.2,17023,14625,18970,7722.9,5506.8,7303.1,13456,22126,21813,27781
21,2010,24230,25792,20159,9710.9,13810,8159.5,5338.8,7517.8,5858.8,5884.6,8361.2,14607
21,2011,5452.7,4381.9,10820,9828.2,3491.5,2608.7,2827.6,2709.4,3684.7,2769.3,4701.1,8921.2
21,2012,14824,10064,11177,2277.3,2016.8,2803.5,3337.9,4735.9,4715.2,5449.2,5355.8,8170.8
21,2013,17894,18066,15096,13142,17155,10990,15089,9983.7,7518.2,7469.1,7690.8,18191
34,2008,3756.9,2944.8,3456.6,6508.3,7743.4,6570.6,7982.7,8191.8,4101.4,2630.5,1887.2,2049.7
34,2009,2615.6,3462.5,5468.9,6482.5,8861.7,8020,8842,7215.4,5377.6,4270,2979.4,3125.3
34,2010,2739.1,2979.8,4178.8,5288.1,8077.9,9088.7,8553.7,7219.2,5420.7,4052.3,4245.1,6691.5
34,2011,5861.4,4276.7,6981.1,8244.1,9157.4,8908,8943,7239.7,5809.7,4087.2,3561.1,3188.5
34,2012,2805.3,2328.8,3137.4,4838.5,7280.8,6401.7,6886.7,6243.7,5116,3967.6,3193.1,4125.5
34,2013,3652.5,3240.5,3850.8,4854.6,5833.5,6159.9,6880.6,5660.7,3808.2,3042.8,2233.3,1995.5
38,2008,27975,36113,42548,24948,20030,13896,13310,22974,12640,12446,11520,56022
38,2009,34493,14580,31358,26941,34944,14226,10144,13453,24788,40757,40181,51174
38,2010,48998,52156,40766,19637,27926,16500,10796,15202,11848,11900,16908,29537
38,2011,26720,21473,53020,48162,17110,12784,13857,13277,18056,13571,23037,43717
38,2012,59335,40284,44739,9115.1,8072.6,11221,13360,18956,18873,21812,21438,32705
38,2013,20996,21197,17713,15421,20129,12895,17705,11715,8821.5,8764,9024.1,21344
48,2008,45102,69594,70847,37479,23375,29603,32063,53746,26313,28083,22283,66629
48,2009,70935,56200,67789,52377,72897,57285,41271,60371,52312,87817,80312,72191
48,2010,72910,67427,72150,33804,47361,39889,31350,54721,42749,43651,58470,80834
48,2011,72473,58197,74642,74154,48072,45673,49341,50039,51920,50591,71027,75856
48,2012,77610,80729,81592,20459,23329,35078,40556,59362,54451,60787,67038,65470
48,2013,71141,66317,84965,66701,70907,64803,63063,68383,66237,66325,68901,82196
49,2008,49073,1.0118e+05,1.1346e+05,64448,38747,39798,37992,65643,32336,33898,25140,1.6954e+05
49,2009,1.7218e+05,71137,1.1483e+05,98858,1.7253e+05,79180,53819,79124,1.1067e+05,1.6473e+05,1.8351e+05,2.5447e+05
49,2010,1.847e+05,1.9229e+05,1.0889e+05,51417,88387,54699,37526,64482,54671,50559,70544,1.3842e+05
49,2011,1.2461e+05,81245,2.4105e+05,2.1837e+05,82591,63371,64311,60572,96561,66002,1.0666e+05,1.7915e+05
49,2012,2.2376e+05,1.5112e+05,1.4425e+05,26466,27994,44439,48757,78347,78438,88130,82833,1.1012e+05
49,2013,2.2609e+05,2.2623e+05,1.7431e+05,1.4068e+05,1.9677e+05,1.4029e+05,1.8278e+05,1.0539e+05,93155,88399,86201,2.0309e+05
53,2008,641.26,827.82,975.32,571.88,459.14,318.53,305.1,526.64,289.75,285.29,264.07,1284.2
53,2009,1010,426.94,918.2,788.88,1023.2,416.56,297.03,393.92,725.82,1193.4,1176.6,1498.4
53,2010,1055.4,1123.5,878.13,423,601.54,355.42,232.55,327.47,255.21,256.33,364.21,636.25
53,2011,243.81,195.93,483.78,439.45,156.12,116.65,126.43,121.15,164.76,123.82,210.2,398.9
53,2012,730.82,496.18,551.05,112.27,99.43,138.21,164.56,233.49,232.46,268.65,264.05,402.83
53,2013,860.53,868.78,725.99,632.02,824.98,528.51,725.64,480.13,361.55,359.2,369.86,874.8
55,2008,1513.5,1953.8,2302,1349.8,1083.7,751.8,720.09,1243,683.86,673.34,623.26,3030.9
55,2009,2211.4,934.77,2010.4,1727.2,2240.3,912.05,650.35,862.48,1589.2,2613,2576,3280.8
55,2010,2435.8,2592.8,2026.6,976.23,1388.3,820.27,536.71,755.76,588.98,591.58,840.55,1468.4
55,2011,783.5,629.64,1554.7,1412.2,501.7,374.85,406.31,389.31,529.46,397.92,675.51,1281.9
55,2012,2102.3,1427.3,1585.1,322.95,286.02,397.57,473.37,671.63,668.7,772.79,759.54,1158.8
55,2013,1959.5,1978.3,1653.1,1439.1,1878.5,1203.5,1652.3,1093.3,823.28,817.91,842.19,1992
62,2008,2531.3,2749.5,2655.1,2544.3,1881.4,2405,1740.6,2102,2288.4,2429.9,2020.1,3127.4
62,2009,1771.4,1917.7,2026.9,2076.2,1566.4,2057.9,2041,2237,1677.9,2676.7,2498.3,2907.6
62,2010,2413.2,1728.5,2155,2392,1946.8,2281.1,2476.8,2287,1954.1,1949.2,1950.7,2901.7
62,2011,2230.1,2144.8,2480,1673.6,1664.2,1537,1441.6,1435.4,1519.7,1459.2,2212.2,2472.1
62,2012,2252.2,1962.2,1859.8,1487.2,1486.4,1536.9,1022.2,1652.1,1735.7,2713.6,2157.6,2069.3
62,2013,2281.5,2129.4,1962.7,1966,1788.5,1586.9,1649.4,1882.9,1580.9,3469,2272.6,2486.1
63,2008,420.56,456.82,441.14,422.73,312.59,399.58,289.19,349.23,380.2,403.71,335.63,519.6
63,2009,321.16,347.69,367.48,376.41,283.99,373.09,370.03,405.58,304.2,485.28,452.94,527.15
63,2010,413.52,296.18,369.27,409.88,333.6,390.89,424.42,391.89,334.85,334.01,334.27,497.23
63,2011,484.46,465.95,538.77,363.58,361.54,333.9,313.18,311.84,330.14,317,480.57,537.05
63,2012,409.37,356.66,338.04,270.31,270.17,279.35,185.8,300.29,315.48,493.23,392.17,376.12
63,2013,427.05,398.58,367.38,367.99,334.77,297.04,308.74,352.45,295.92,649.34,425.39,465.35
65,2008,2315,2514.6,2428.3,2326.9,1720.7,2199.5,1591.9,1922.4,2092.8,2222.3,1847.5,2860.1
65,2009,1888.9,2044.9,2161.3,2213.9,1670.3,2194.3,2176.3,2385.4,1789.1,2854.2,2664,3100.4
65,2010,2209.2,1582.3,1972.8,2189.7,1782.2,2088.3,2267.4,2093.6,1788.9,1784.4,1785.8,2656.4
65,2011,2437.1,2343.9,2710.2,1829,1818.7,1679.7,1575.4,1568.7,1660.7,1594.6,2417.5,2701.6
65,2012,2915.6,2540.2,2407.6,1925.2,1924.2,1989.6,1323.3,2138.7,2246.9,3512.9,2793.1,2678.8
65,2013,2738.2,2555.7,2355.6,2359.5,2146.5,1904.6,1979.6,2259.9,1897.4,4163.5,2727.6,2983.8
66,2008,288.2,313.04,302.3,289.69,214.21,273.82,198.18,239.32,260.54,276.65,230,356.06
66,2009,236.89,256.45,271.05,277.64,209.47,275.19,272.94,299.15,224.38,357.94,334.09,388.82
66,2010,325.8,233.35,290.93,322.93,262.83,307.97,334.38,308.75,263.81,263.15,263.36,391.74
66,2011,300.21,288.74,333.87,225.3,224.04,206.91,194.07,193.24,204.58,196.44,297.8,332.8
66,2012,342.01,297.98,282.42,225.84,225.72,233.39,155.23,250.88,263.57,412.08,327.64,314.24
66,2013,285.73,266.69,245.81,246.22,223.99,198.75,206.57,235.82,197.99,434.46,284.62,311.36
70,2008,5977.9,6493.2,6270.3,6008.7,4443.1,5679.6,4110.6,4963.9,5404.2,5738.3,4770.7,7385.5
70,2009,5326.9,5766.8,6095.2,6243.3,4710.3,6188.2,6137.5,6727,5045.5,8049,7512.7,8743.4
70,2010,8396.2,6013.7,7497.7,8322.2,6773.3,7936.6,8617.3,7956.9,6798.8,6781.7,6787,10096
70,2011,9062.7,8716.3,10079,6801.3,6763.2,6246.1,5858.6,5833.4,6175.8,5930,8989.9,10046
70,2012,9927.7,8649.5,8197.8,6555.3,6551.8,6774.6,4505.9,7282.3,7650.8,11961,9510.5,9121.3
70,2013,6297.1,5877.4,5417.2,5426.3,4936.4,4380.1,4552.6,5197.1,4363.5,9574.9,6272.6,6861.9
71,2008,10746,11672,11271,10801,7986.8,10209,7389,8923,9714.3,10315,8575.6,13276
71,2009,6858.3,7424.6,7847.4,8038.1,6064.4,7967.2,7901.9,8660.9,6496,10363,9672.4,11257
71,2010,11316,8105.1,10105,11216,9128.9,10697,11614,10724,9163.2,9140.2,9147.3,13607
71,2011,11434,10997,12716,8581.2,8533,7880.7,7391.7,7360,7791.9,7481.8,11342,12675
71,2012,13463,11730,11117,8889.8,8885,9187.1,6110.6,9875.5,10375,16221,12897,12370
71,2013,10849,10125,9332.6,9348.2,8504.3,7545.9,7843.1,8953.4,7517.3,16495,10806,11821
72,2008,0,0,0,0,0,0,0,0,0,0,0,0
72,2009,441.73,584.76,923.6,1094.8,1496.6,1354.4,1493.3,1218.6,908.19,721.13,503.18,527.81
72,2010,346.55,377.01,528.7,669.05,1022,1149.9,1082.2,913.37,685.83,512.7,537.09,846.61
72,2011,1101.8,803.88,1312.2,1549.6,1721.3,1674.4,1681,1360.8,1092,768.26,669.37,599.34
72,2012,347.24,288.26,388.35,598.92,901.23,792.42,852.45,772.85,633.26,491.12,395.25,510.66
72,2013,0,0,0,0,0,0,0,0,0,0,0,0
77,2008,4829,3911,4195,6021,4937,4632,4704,5033,5211,5013,4916,4422
77,2009,4008,3959,3724,3660,2979,3561,3031,5825,2898,3554,8760,11097
77,2010,8159,5590,3634,5069,8730,4000,5368,6033,5580,4560,5048,12432
77,2011,7983,8169,7227,3446,5669,3743,2908,3360,4171,3805,7346,8261
77,2012,8472,6605,3042,4355,4984,3734,6094,6539,6948,12832,4620,2901
77,2013,3176,8621,10802,5480,3034,3133,4934,14364,13931,10010,4979,7472
78,2008,25959,23941,22303,8931,214,17170,12013,19273,24010,25446,11257,30123
78,2009,13021,23597,26841,27318,9342,24403,19869,18199,14792,16655,23646,27090
78,2010,26539,21378,29332,28546,26468,26349,21862,16203,16991,20248,19871,31878
78,2011,26069,26945,29597,19021,14101,19360,15499,16058,17165,18508,28489,32937
78,2012,35902,30387,29943,17890,18406,19289,18309,18954,16368,24512,29978,30484
78,2013,26811,27819,21210,20683,18538,19015,16351,18147,18635,30445,14469,26709
84,2008,2122,2305,2225.8,2133,1577.2,2016.2,1459.2,1762.1,1918.4,2037,1693.5,2621.7
84,2009,1492.4,1615.6,1707.6,1749.1,1319.6,1733.7,1719.5,1884.6,1413.6,2255,2104.7,2449.5
84,2010,2130.4,1525.9,1902.4,2111.7,1718.6,2013.8,2186.5,2019,1725.1,1720.8,1722.1,2561.6
84,2011,2265.6,2179,2519.6,1700.3,1690.8,1561.5,1464.6,1458.3,1543.9,1482.5,2247.4,2511.5
84,2012,2477.1,2158.1,2045.5,1635.6,1634.8,1690.3,1124.3,1817,1909,2984.5,2373,2275.9
84,2013,1898.1,1771.6,1632.9,1635.6,1488,1320.3,1372.3,1566.6,1315.3,2886.2,1890.8,2068.4
88,2008,1407.8,1176.7,1525.3,1386.4,1450.2,1334,1412.3,1348.3,1220,1248.6,1415.8,1477.8
88,2009,915.07,840.61,1027.3,940.98,990.12,907.26,951.73,929.03,840.89,872.48,943.26,997.24
