0,1,2,3,4,5,6,7,8,9,10,11,12
1900,654.9,576.2,1009.7,1012.8,1207.1,1663.3,831.15,594.35,493.6,557.2,705.38,690.05
1901,15473,12940,22447,21753,25927,27090,16673,12607,9789.9,12285,15438,14835
1902,1006.7,836.66,1477.5,1584,1913.2,3177.8,1351.2,823.53,729.63,864.22,1075.2,1125.2
1911,2866,2529.7,4559.3,4576.1,5490.1,7531.8,3626.3,2470.2,2232.5,2569.1,3309.5,3173.1
1943,641.89,615.68,1122.6,998.74,1182.2,1313.4,842.76,670.33,643.78,688.65,1076.4,862.89
1977,227.98,201.29,357.21,347,413.27,529.04,284.17,206.22,180.2,206.05,278.28,255.95
1987,30.852,28.121,46.607,41.867,47.87,48.759,37.438,33.615,24.541,26.064,35.393,31.273
2007,780.82,670.14,1144.5,1164.4,1361.4,2095.3,1030.5,726.87,590.18,667.75,798.58,824.28
2014,156.42,139.37,245.07,240.65,288.73,354.56,190.07,142.31,115.8,130.5,171.61,161.25
2099,201.7,237.74,376.63,406.47,494.42,357.09,293.89,129.6,184.68,183,159.61,132.65
2106,37778,45093,92449,99134,1.2067e+05,97551,57908,28767,34905,34379,33378,15404
2124,1376.4,1787.7,4042.5,3772.8,4249.6,3374.5,3044.8,1311.3,1924.9,1097.1,871.9,1008.2
2166,33077,40794,53744,77879,81835,55352,49190,39303,30878,35059,29525,37283
2815,1.6928e+05,1.5902e+05,1.3937e+05,1.3141e+05,1.7443e+05,1.672e+05,1.6972e+05,1.7694e+05,1.7127e+05,1.7097e+05,1.6418e+05,1.5284e+05
3356,1.6467e+05,1.3035e+05,1.256e+05,1.5327e+05,1.7014e+05,1.9313e+05,2.5093e+05,2.8074e+05,2.6572e+05,1.9952e+05,1.7516e+05,1.6127e+05
3373,85173,68725,83189,1.0985e+05,1.3317e+05,1.2909e+05,1.6433e+05,1.8258e+05,1.7717e+05,1.6209e+05,1.2574e+05,95170
3375,64582,53618,54671,57142,74831,81639,93567,1.1192e+05,1.118e+05,79850,73990,62689
3971,2259.4,1800.1,1358.2,2215.7,2046.2,2937.9,2982.5,2854,2339.2,2600.3,2703.5,1780.4
3972,2692.7,2166.1,1635,2627.5,2443.6,3524.9,3548.2,3437.1,2813.6,3137.8,3221.5,2081.1
3973,1764.3,1415.1,1061.2,1723.7,1602.3,2303.3,2322.1,2244.1,1839.6,2044.6,2109.7,1368.8
3974,3260,2599,1963.9,3181.8,2959.1,4246.8,4288.3,4137,3376.8,3764.7,3895.3,2537.5
3975,1660,1326.9,1037,1680.1,1566.4,2140.7,2166.8,2088.5,1727.5,1904.4,2015.8,1334.3
3983,2154.1,1733,1335.2,2207.3,2046.2,2809.4,2823.6,2746.3,2226.8,2489.4,2635.1,1719.6
3986,726.89,591.08,434.54,727.31,672.73,957.32,958.09,934.64,760.96,847.72,879.68,563.7
3988,587.3,482.23,366.18,603.73,553.61,775.52,778.07,756.98,617.74,691.1,721.18,466.19
3989,283.18,224.04,169.11,279.95,256.53,366.49,374.76,354.84,290.82,322.75,339.55,227.32
3995,471.55,398.55,303.12,502.55,456.62,629.68,628.27,615.53,507.17,565.58,590.69,378.69
3998,2333.2,1851.1,1377.1,2283.1,2123.4,3017.7,3058.7,2934.1,2414.9,2660.9,2784.1,1832.3
4000,4632.2,3747.2,2775,4584.6,4217,6098.6,6139.7,5937.3,4828.9,5402.7,5578,3604.5
4002,2798.5,2381.4,1828.1,2793.6,2597.3,3801.2,3725.7,3744.7,3048.2,3469.8,3420.5,2072.7
4007,6426.9,5113.6,3824.7,6275.8,5927.9,8365.1,8354.6,8195.6,6639,7395.8,7679.1,4911.6
4008,8960.5,7199.9,5317.3,8830.2,8255.6,11739,11731,11481,9303.9,10377,10759,6876
4009,1504.9,1156,866.7,1449.4,1350.8,1920.2,1965.7,1861.3,1511.3,1673.3,1776.5,1194.8
4011,8748.1,6987.3,5253.8,8540.7,7933.5,11360,11505,11048,9118.8,10075,10445,6847.5
4012,549.14,438.08,327.82,544.53,504.71,710.84,720.74,691.09,570.48,627.79,659.56,435.22
4015,9180.1,7365.1,5489.1,9121.3,8415.8,12035,12121,11725,9480.5,10625,11065,7180.1
4018,371.96,298.13,222.99,371.56,340.16,484.86,492.76,470.4,385.41,428,448.8,296.81
4019,204.91,163.01,123.35,203.45,188.91,265.37,268.72,258.32,211.79,234.46,246.4,162.31
4043,1081.9,847.67,634.62,1065.3,965.98,1392.8,1439.4,1340.9,1102,1219,1292,882.19
4044,472.75,381.88,287.51,468.2,433.6,618,623.15,602.04,495.7,549.67,569.13,370.03
4045,780.79,621.63,457.59,753.76,704.75,1020.8,1024.3,996.32,805.96,900.82,928.05,595.54
4053,4139,3276,2480,4077.3,3793.1,5362.9,5426.5,5223,4252.2,4731.9,4959.6,3258
4056,10269,8023.2,6055.6,9976.1,9280.8,13233,13463,12858,10446,11623,12206,8095.3
4060,1392.9,1111.9,832.84,1352.2,1274,1811.2,1815.9,1770.9,1450.6,1606.9,1659.8,1067.3
4061,917.69,727.71,537.77,882.43,827.7,1188.7,1199.3,1158,952.43,1050,1086.8,706.6
4063,5560.5,4388.2,3208.6,5362.4,4941.4,7215.5,7347.8,6989.7,5710.6,6332.3,6587.8,4352.7
4064,515.05,416.48,313.61,496.81,472.73,671.92,668.86,659.21,546.4,601.87,613.09,387.81
4065,1050.5,836.03,623.1,1022.1,958.72,1360.5,1371.2,1326.7,1092.8,1203.7,1251.3,813.89
4067,623.73,502.19,381.49,626.24,586.84,810.29,812.59,792.71,652.4,719.89,755.07,489.38
4068,537.33,442.95,335.99,519.55,497.1,712.57,698.77,703.48,576.66,644.33,643.45,392.81
4071,298.09,242.38,181.31,296.62,276.25,391.43,391.51,382.68,313.71,348.5,360.01,230.51
4074,699.37,563.31,426.3,701.38,653.46,910.11,915.26,888.67,730.81,807.86,846.19,550.46
4075,759.83,607.81,457.07,742.26,700.21,987.69,988.93,966.58,792.7,877.07,908.17,583.52
4077,1892.1,1507.4,1125.6,1815.7,1716.1,2463.5,2466,2409.9,1968.3,2186.1,2243.4,1434.4
4079,7077.7,5591.4,4216.2,6894.1,6424.3,9172.5,9282.4,8930.5,7272.9,8095.6,8436.7,5530.3
